id_book,page,start_time,duration
21,42,1784350474,52
21,40,1784350325,75
21,38,1784350197,51
21,34,1784349945,72
21,44,1784350569,27
21,44,1784350598,49
21,37,1784350137,60
21,36,1784350080,57
21,45,1784350647,75
21,43,1784350526,43
21,41,1784350400,74
21,39,1784350248,77
21,46,1784350722,90
21,47,1784351635,120
21,46,1784352004,120
21,53,1784352593,80
21,49,1784352371,56
21,47,1784352253,57
21,52,1784352544,49
21,50,1784352427,56
21,48,1784352310,56
21,46,1784352144,109
21,55,1784352860,71
21,54,1784352673,120
21,51,1784352483,61
21,67,1784353548,58
21,67,1784353666,14
21,69,1784353777,70
21,68,1784353606,60
21,68,1784353680,97
21,64,1784353332,113
21,62,1784353228,68
21,58,1784353055,59
21,56,1784352931,76
21,60,1784353180,21
21,65,1784353445,58
21,59,1784353118,62
21,66,1784353503,45
21,61,1784353201,27
21,63,1784353296,36
21,57,1784353007,48
21,71,1784353900,66
21,72,1784353966,70
21,70,1784353847,53
21,73,1784354036,78
21,76,1784354306,19
21,76,1784354657,65
21,74,1784354114,78
21,75,1784354192,18
21,75,1784354212,94
21,75,1784354325,120
21,77,1784363065,120
21,77,1784364105,89
21,77,1784364230,7
21,78,1784364194,28
22,1,1784364249,11
22,2,1784364667,120
23,1,1784365149,5
23,5,1784365157,7
24,4,1784368150,41
24,15,1784368203,19
24,72,1784368264,7
24,74,1784368256,5
24,85,1784368231,5
24,77,1784368246,5
24,74,1784368416,5
24,73,1784368407,9
24,73,1784368421,8
24,73,1784368430,35
25,4,1784368727,101
25,5,1784368828,32
25,6,1784368860,13
25,7,1784369943,120
26,1,1784371688,5
26,3,1784371622,9
26,3,1784371695,7
26,4,1784371702,8
26,1504,1784371631,18
26,13,1784371844,57
26,13,1784372015,8
26,6,1784371711,5
26,6,1784372063,5
26,12,1784371724,120
26,12,1784371901,114
26,12,1784372023,34
26,12,1784372072,28
26,1517,1784371649,9
26,15,1784372134,97
26,14,1784372124,10
26,13,1784372100,24
26,16,1784372232,33
26,17,1784372265,24
26,18,1784372293,55
26,19,1784372348,120
26,20,1784372624,41
26,21,1784372665,65
26,22,1784372730,68
26,23,1784372798,70
26,24,1784372868,82
26,25,1784372950,99
26,26,1784373049,78
26,34,1784373348,45
26,32,1784373252,78
26,28,1784373211,25
26,27,1784373132,79
26,33,1784373330,18
26,31,1784373245,7
26,35,1784373393,64
26,36,1784373457,49
26,37,1784438201,120
27,1,1784438442,58
28,1,1784438602,58
28,2,1784438660,5
28,5,1784438666,18
28,9,1784438690,12
28,10,1784438702,9
28,457,1784439426,6
28,458,1784439426,6
28,449,1784439367,41
28,460,1784439418,5
28,446,1784438833,60
28,447,1784438833,60
28,426,1784438758,75
28,420,1784438733,8
28,421,1784438733,8
28,418,1784438723,8
28,416,1784438718,2
28,417,1784438718,2
28,463,1784439408,7
28,448,1784439354,13
28,459,1784554858,120
28,460,1784555778,5
28,460,1784555786,16
27,1,1784689169,120
27,2,1784689469,13
27,82,1784689490,35
27,49,1784689656,63
27,48,1784689561,95
27,47,1784689482,8
27,47,1784689528,33
27,50,1784689724,8
27,51,1784762322,120
28,468,1784764002,29
28,469,1784764002,29
28,466,1784763743,82
28,466,1784763830,77
28,467,1784763907,6
28,467,1784763914,88
28,463,1784763510,120
28,464,1784763643,50
28,465,1784763643,50
28,464,1784763825,2
28,465,1784763825,2
28,460,1784763313,16
28,460,1784763365,58
28,461,1784763423,43
28,462,1784763423,43
28,459,1784763244,62
28,1301,1784763329,25
28,470,1784764060,93
28,478,1784764950,120
28,474,1784764425,43
28,474,1784764575,120
28,472,1784764218,26
28,473,1784764218,26
28,472,1784764336,44
28,473,1784764336,44
28,472,1784764518,4
28,473,1784764518,4
28,472,1784764527,8
28,473,1784764527,8
28,472,1784764544,12
28,473,1784764544,12
28,476,1784764872,39
28,477,1784764872,39
28,475,1784764701,47
28,475,1784764800,72
28,471,1784764166,52
28,471,1784764271,65
28,471,1784764468,50
28,1305,1784764757,13
28,1306,1784764757,13
28,483,1784765656,91
28,486,1784765894,62
28,486,1784765958,120
28,479,1784765165,120
28,482,1784765547,43
28,482,1784765592,56
28,482,1784765651,5
28,480,1784765373,40
28,481,1784765373,40
28,480,1784765456,45
28,481,1784765456,45
28,484,1784765747,60
28,485,1784765747,60
28,487,1784802011,120
28,486,1784801902,109
28,490,1784802276,120
28,488,1784802191,42
28,489,1784802191,42
28,500,1784803250,12
28,501,1784803250,12
28,500,1784803294,12
28,501,1784803294,12
28,500,1784803376,24
28,501,1784803376,24
28,499,1784803187,63
28,499,1784803342,6
28,495,1784802843,120
28,494,1784802736,101
28,498,1784803087,100
28,498,1784803277,10
28,496,1784802964,42
28,497,1784802964,42
28,496,1784803051,18
28,497,1784803051,18
28,496,1784803287,2
28,497,1784803287,2
28,492,1784802525,7
28,493,1784802525,7
28,492,1784802612,60
28,493,1784802612,60
28,491,1784802434,91
28,491,1784802540,72
28,1312,1784803318,24
